Model,Default Threshold Zero-Day (%),Optimized Threshold,Zero-Day Detection (%),Improvement (pp)
Decision Tree,36.64,0.5099999999999998,41.199999999999996,4.559999999999995
Random Forest,44.11,0.5299999999999998,50.61333333333333,6.50333333333333
KNN,40.77,0.6899999999999997,18.373333333333335,-22.39666666666667
Linear SVM,37.01,0.12,5.92,-31.089999999999996
Logistic Regression,40.91,0.4999999999999998,8.88,-32.029999999999994
