Model,Threshold,Accuracy,Precision,Recall,F1,FPR
Decision Tree,0.5099999999999998,0.9983726929946418,0.9983792544570502,0.99812382739212,0.9982515245852701,0.0014106466701314128
KNN,0.6899999999999997,0.9976582655288748,0.9984619328377339,0.9965034965034965,0.9974817533825601,0.001336402108545549
Linear SVM,0.12,0.8756499305417742,0.9637344846195359,0.7614702370799932,0.8507455576199323,0.02494617269285025
Logistic Regression,0.4999999999999998,0.8862869616987498,0.9183268813143235,0.8294388538290978,0.8716225299099342,0.06422154577177222
Random Forest,0.5299999999999998,0.9992458821194682,0.9992324093816631,0.9991471942691454,0.9991898000085284,0.0006682010542727745
